YEAR,MONTH,COVID
2018,6,BEF
2018,7,BEF
2018,8,BEF
2018,9,BEF
2018,10,BEF
2018,11,BEF
2018,12,BEF
2019,1,BEF
2019,2,BEF
2019,3,BEF
2019,4,BEF
2019,5,BEF
2019,6,BEF
2019,7,BEF
2019,8,BEF
2019,9,BEF
2019,10,BEF
2019,11,BEF
2019,12,BEF
2020,1,BEF
2020,2,BEF
2020,3,DUR_20
2020,4,DUR_20
2020,5,DUR_20
2020,6,DUR_20
2020,7,DUR_20
2020,8,DUR_20
2020,9,DUR_20
2020,10,DUR_20
2020,11,DUR_20
2020,12,DUR_20
2021,1,DUR_21
2021,2,DUR_21
2021,3,DUR_21
2021,4,DUR_21
2021,5,DUR_21
2021,6,DUR_21
2021,7,DUR_21
2021,8,DUR_21
2021,9,AFT
2021,10,AFT
2021,11,AFT
2021,12,AFT
2022,1,AFT
2022,2,AFT
2022,3,AFT
2022,4,AFT
2022,5,AFT
2022,6,
2022,7,
2022,8,
2022,9,
2022,10,
2022,11,
2022,12,
